IMDbId,keywords
tt0094137,changing-a-baby's-diaper|baby-left-on-doorstep|abandoned-baby|baby-food|drug-dealer|architect|narcotics-officer|suspicious-package|grocery-shopping|friendship-between-men|birthday-party|bachelor-pad|three-friends|family-relationships|parenthood|affection|mother-daughter-reunion|family-abandonment|custody|adoption|mother-son-relationship|father-daughter-relationship|cartoonist|baby-carriage
tt0093010,borderline-personality-disorder|killing-a-pet|new-york-city|madame-butterfly|new-york|woman|city|obsession|neo-noir|antisocial-personality-disorder|two-word-title|lie|pretending-to-be-dead|man-drowning-a-woman|self-cutting|drowning-in-a-bathtub|tea-kettle|police-station|strangulation|broken-glass|police-lieutenant|tollbooth|telephone-operator|breaking-and-entering|555-phone-number|character-says-i-love-you|rolodex|champagne|meat-packing-district|secretary|pipe-smoking|invitation|office|new-house|mental-illness|bare-breasts|topless-female-nudity|nudity|umbrella|faking-unconsciousness|faking-illness|sucking-breast|fondling-breast|sneaking-out|family-dinner|coitus|murder|death|suburb|street|autumn-leaves|autumn|hugging|alcohol|cooking|manhattan-new-york-city|central-park-manhattan-new-york-city|walking|home-alone|male-in-shower|kissing-breasts|answering-machine|early-morning|panties-hit-the-floor|panties-pulled-down|sex-in-kitchen|clothed-sex|sex-standing-up|lighting-a-cigarette-for-a-woman|lighting-a-cigarette|wine-drinking|restaurant|rainy-day|volvo-240|volvo-station-wagon|pet|broken-umbrella|woman-smoking-cigarette|cigarette-smoking|cocktail-party|cheating-husband|headphones|watching-tv|usa|based-on-short-film|1980s|marriage|marital-problem|female-stalker|male-nudity|male-underwear|villain-not-really-dead-cliche|nail-polish|upskirt|crotch-shot|bitch|undressing|pregnancy|knife|infidelity|husband-wife-relationship|crime-of-passion|controversy|bathtub|villainess-played-by-lead-actress|woman-in-a-bed|voyeur|voyeurism|victim|femme-fatale|threat|threatened-with-a-knife|telephone-call|suspense|suspect|stabbed-to-death|spurned-man|skirt|sexual-tension|sexual-repression|sexual-perversion|sexual-obsession|sexual-murder|sexual-intercourse|sexual-desire|sensuality|seduction|repression|real-tv-show-shown-in-fictional-situation|perversion|passion|passionate-kiss|paranoia|mysterious-woman|murderess|murder-witness|moaning|mental-breakdown|man-and-woman-in-a-bed|male-rear-nudity|lust|long-hair|leg-spreading|knife-murder|kiss|kicking|jealousy|intercourse|guilt|fondling|female-vomiting|female-removes-her-clothes|female-rear-nudity|female-killer|exhibitionist|exhibitionism|dress|domestic-violence|dead-body|cuckold|covered-in-blood|corpse|confession|clothes-ripping|caress|car-driving|blood-stain|blonde|beating|bare-butt|awakening|apartment-building|adulteress|adulterer|sex-in-a-bathroom|sex-addict|depressed-woman|rabbit-stew|fatal-attraction|blood|butcher-knife|rough-sex|obsessive-love|yuppie|stalking|extramarital-affair|suicide|villainess|breast-suckling|violence|unfaithful-husband|sex-in-an-elevator|oral-sex|nipples|female-psychopath|female-nudity|fellatio|desire|stalker|maniac|madness|spurned-woman|flirting|gay-slur|child-in-peril|rabbit|blockbuster|kidnapping|publishing|roller-coaster|police|library|revenge|wronged-wife|unfaithfulness|sex-in-a-kitchen|self-mutilation|car-accident|law|bath|sex|espresso|bowling|suicide-attempt|dog|redemption|adultery|hospital|opera|sexuality|actor-shares-first-name-with-character|cult-film|martial-arts
tt0092644,robbery|police|police-chief|detective|tall-woman|weapon|pay-phone|payphone|cartoon-on-tv|trust|blood-splatter|police-procedural|city-name-in-title|ends-with-freeze-frame|strip-club|almost-hit-by-a-car|oil-field|breaking-the-rules|sunglasses|scene-during-opening-credits|scene-before-opening-credits|reference-to-mario-andretti|telling-someone-to-shut-up|reference-to-james-bond|ferrari|red-ferrari|police-sergeant|police-detective|police-inspector|coordinates|falling-into-a-swimming-pool|chewing-gum|matchbook|reference-to-gerald-ford|reference-to-betty-ford|reference-to-the-pointer-sisters|reference-to-the-boston-pops-orchestra|reference-to-ludwig-van-beethoven|reference-to-the-beatles|reference-to-james-brown|four-word-title|roman-numbered-sequel|roman-numeral-in-title|african-american-protagonist|police-shootout|gun-battle|street-shootout|1980s|thong|legs|leg|cameo|mixed-martial-arts|martial-arts|opening-action-scene|hand-grenade|exploding-car|pistol|beverly-hills-california|silencer|hero-kills-a-woman|man-kills-woman|breaking-and-entering|alarm|switchblade|knife|magnum-handgun|machine-gun|shotgun|gangster|german|dual-wield|explosion|exploding-truck|nightclub|ambush|police-chase|second-part|wisecrack-humor|gas-mask|quick-draw|female-villain|cigarette-smoking|cigar-smoking|target-practice|beretta|semiautomatic-pistol|car-chase|gun-violence|violence|black-comedy|disarming-someone|showdown|gunfight|shootout|three-man-army|action-hero|hero|blood|brawl|fistfight|blonde|tough-guy|tough-cop|reference-to-clint-eastwood|hugh-hefner|cult-film|shooting-range|gun-club|female-nudity|shot-to-death|part-of-trilogy|california|swimming-pool|rocket-launcher|sequel|blockbuster|villainess|desert-eagle|lasersight|convertible|insurance-fraud|horse-track|murder|drive-by-shooting|cement-truck|arms-smuggling|buddy-cop|playboy-mansion|armored-car|chase|thrown-through-a-window|undercover|machismo|computer|shooting-gallery|stripper|father-daughter-relationship|heist|number-in-title|surprise-ending
tt0093105,radio|vietnam|vietnamese|disc-jockey|friendship|life|violence|reference-to-princess-margaret|reference-to-elizabeth-taylor|humanism|black-comedy|punctuation-in-title|comma-in-title|three-word-title|anti-war|record-player|journalism|1960s|mean-boss|helicopter|explosion|exploding-building|burn-victim|burn-injury|shock-jock|reference-to-marcel-marceau|reference-to-liberace|reference-to-ethel-merman|reference-to-tennessee-ernie-ford|country-in-title|vietnamese-soldier|brother-sister-relationship|based-on-distorted-reality|u.s.-marine-corps|transport|jeep|formaldehyde|english-teacher|bicycle|beer|blockbuster|identical-twins|bar|army-life|censorship|vietnam-war|radio-dj|condom|teaching|backmasking-spoof|title-spoken-by-character
tt0093565,brother|love|proposal|marriage|bookkeeper|widow|marriage-proposal|opera|bakery|italian-american|woman|1980s|afi|female-protagonist|water-thrown-in-face|hair-salon|artificial-hand|funeral-home|one-word-title|twin-towers|new-york-city|brooklyn-new-york-city|mother-daughter-relationship|husband-wife-relationship|father-daughter-relationship|family-relationships|reference-to-adam-and-eve|chick-flick|rough-sex|transformation|slice-of-life|self-discovery|opposites-attract|moon|love-triangle|fiancee|extramarital-affair|dysfunctional-family|battle-of-the-sexes|italian-opera|face-slap|blockbuster|italian|new-york-skyline|adultery|engagement|italian-restaurant|espresso|superstition
tt0094226,prohibition-era|tax-evasion|corruption|prohibition|reference-to-battleship-potemkin|year-1930|tough-cop|white-suit|tax-evader|corrupt-judge|illegal-business|railway-station|crime-boss|chicago-illinois|mafia|organized-crime|gangster|al-capone|treasury-agent|accountant|untouchable|federal-agent|police|veiled-threat|attempted-bribery|recruiting|police-recruit|brutal-murder|taking-a-photograph|blinded-by-camera-flash|chicago-police|night|usa|news-photographer|large-format-camera|flash-camera|volstead-act|killed-in-an-elevator|brawl|alley-fight|showdown|gun-violence|fistfight|tough-guy|action-hero|hero|g-man|mobster|two-word-title|social-contract|rule-of-law|reference-to-j.-edgar-hoover|lawlessness|fighting-fire-with-fire|end-justifies-the-means|drum-magazine|bombing|roof-chase|rooftop-chase|slow-motion-scene|man-with-glasses|evil-man|yawn|yawning|shot-repeatedly|prohibition-repeal|character-repeating-someone-else's-dialogue|brutality|suitcase|speakeasy|public-humiliation|newspaper|ledger|jury|jury-tampering|intimidation|impersonating-a-police-officer|defenestration|deception|death-threat|cutting-face-while-shaving|bar|blood-splatter|exploding-building|freeze-frame|foot-chase|chase-on-the-roof|smuggling|royal-canadian-mounted-police|racism|police-brutality|money-laundering|interrogation|hit-in-the-crotch|firing-range|cigar-smoking|bomb|baby|baby-carriage|1930s|warehouse|righteous-rage|gore|ethnic-slur|writing-in-blood|crime-epic|italian-american-cop|irish-american-cop|u.s.-canadian-border|italian-american|staircase|psychopath|mob-violence|horse|criminal-justice|assault-rifle|u.s.-treasury-agent|irish-american|hit-with-a-baseball-bat|famous-score|long-take|courtroom|threat|shot-to-death|shot-through-the-mouth|shot-in-the-shoulder|shot-in-the-head|shot-in-the-forehead|shot-in-the-face|shot-in-the-chest|shot-in-the-back|shot-in-the-arm|pregnancy|kicked-in-the-face|kicked-in-the-crotch|falling-from-height|death|corrupt-cop|child-in-peril|bribery|beaten-to-death|tommy-gun|shotgun|blockbuster|trial|police-raid|police-officer|murder-of-a-police-officer|opera|murder|marriage|hotel|elevator|bludgeoning|shootout|whiskey|alcohol|body-landing-on-a-car|detective|baseball-bat|switchblade|blood|hitman|revolving-door|police-corruption|revenge|violence|explosion|based-on-tv-series|death-of-friend|death-of-child|based-on-true-story|based-on-book|based-on-novel|gun-fu
tt0093936,camera-shot-of-feet|foot-closeup|female-stockinged-feet|pantyhose|kansas|dream-girl|corporation|yuppie|hearing-sex-through-a-wall|listening-to-sex|hearing-neighbors-having-sex|pretending-to-drown|business-takeover|blonde-woman|female-business-executive|throwing-a-vase|throwing-something-at-someone|telling-someone-to-shut-up|florida|adulterous-husband|reference-to-james-bond|redheaded-woman|aunt-nephew-relationship|overhearing-sex|24-year-old|business-meeting|diving-into-swimming-pool|dual-identity|diving-board|rearview-mirror|going-dutch|skyscraper|photocopying|produced-by-director|office-job|mailroom-clerk|character-says-i-love-you|lying-to-one's-parents|changing-clothes|payphone|telephone-booth|montage-with-pop-song|job-interview|scene-during-opening-credits|mother-son-hug|title-mentioned-in-song|city|reference-to-the-wizard-of-oz|compliment|1980s|flirting|police-shootout|street-shootout|passionate-kiss|ferry|love-triangle|waitress|sound-of-sex|secretary|mistaken-identity|elevator|apartment|noisy-neighbor|montage|treadmill|female-executive|rooftop|jogging|older-woman-younger-man-relationship|swimming-pool|uncle-nephew-relationship|new-job|capitalism|photocopier|police|telephone-call|armed-robbery|phone-booth|shootout|mother-son-relationship|father-son-relationship|farm|flashback|city-country-contrast|office-worker|five-word-title|infidelity|other-woman|job-promotion|entry-level|incest|husband-wife-relationship|friend|dollar-sign-in-title|water-fountain|success|poster|mailroom|limousine|electronic-music-score|deception|cheating-wife|cheating-husband|board-meeting|assumed-identity|white-collar|office|businessman|blockbuster|business|new-york-city|corporate-take-over|impostor
tt0094025,detective|escaped-convict|love|police|stakeout|surveillance|telephone-repairman|police-surveillance|criminal|hidden-money|presumed-dead|fugitive|undercover|looking-through-a-window|hostage|watching-someone|buddy|telescope|hiding-under-a-bed|practical-joke|escaped-prisoner|deception|voyeur|dream|escape-from-prison|hat|disguise|talking-killer-cliche|shower|panties|electronic-music-score|seattle-washington|blockbuster|city|joke|automobile|title-spoken-by-character
tt0093409,police|police-officer|police-partner|mullet|suicidal|drugs|death|vietnam|prostitute|heroin|buddy-film|blood-splatter|breasts|buddy-movie|police-shootout|cop-on-the-edge|neo-noir|police-captain|target-practice|coors-beer|police-procedural|cowboy-boots|police-protagonist|fight|bulletproof-vest|assassination-attempt|machismo|undercover-cop|retirement|police-station|swat-team|police-brutality|vietnam-veteran|detective|police-detective|hand-grenade|drug-dealer|cartoon-on-tv|los-angeles-california|submachine-gun|maverick-cop|handcuffs|pump-action-shotgun|shotgun|sniper-rifle|pistol|machine-gun|rescue|hand-to-hand-combat|quick-draw|duel|sawed-off-shotgun|ambush|m-16|semiautomatic-pistol|six-shooter|revolver|beretta|hero|brawl|boxing|fistfight|blood|gunfight|watching-a-video|neck-breaking|cell-phone|arms-tied-overhead|self-loathing|carjacking|foot-chase|interracial-relationship|henchman|death-of-boyfriend|broken-television|assassin|wet-jeans|car-through-wall|head-butt|electrical-torture|suicide-by-jumping|shooting-range|porno-movie|police-psychologist|pacific-palisades|narc|manic-behavior|jujitsu|house-trailer|hollywood-boulevard|depression|christmas-tree|christmas-carol|birthday|female-nudity|wisecrack-humor|shootout|loss-of-wife|drug-addiction|death-wish|blonde|anger|showdown|action-hero|first-of-series|shot-to-death|shot-in-the-leg|shot-in-the-head|shot-in-the-forehead|shot-in-the-chest|shot-in-the-arm|self-mutilation|police-officer-killed|falling-from-height|exploding-car|trailer-home|beverly-hills-california|black-cop|smuggling|ex-special-forces|swimming-pool|buddy|limousine|blockbuster|kidnapping|cocaine|running-over-a-fire-hydrant|helicopter|car-battery|cat|nightclub|widower|suicide-attempt|sniper|memorial-service|suicide|drive-by-shooting|assault-rifle|boat|christmas|desert|jumping-from-height|buddy-cop|torture|chase|body-landing-on-a-car|undercover|prostitution|violence|heroin-smuggling|exploding-house|sharpshooter|father-daughter-relationship|covert-operation|martial-arts|1980s|defenestration|sleeping-nude|tough-guy|two-man-army|tough-cop|first-part|anti-hero|cult-film|reference-to-bugs-bunny|male-nudity|famous-line|title-spoken-by-character
tt0092890,camera-shot-of-feet|pantyhose|dance|abortion|catskills|resort|love|dance-instructor|theft|summer|new-york|doctor|catskill-resort|dancer|chick-flick|teen-movie|teenage-daughter|directorial-debut|older-man-younger-woman|famous-song|rural-setting|family-relationships|song-during-end-credits|title-at-the-end|father-daughter-hug|speaking-to-audience|singing|false-accusation|knocking-on-a-door|two-sisters|visit|lying-on-bed|waking-up|parking-a-car|driving-at-night|driving-a-car|sexual-euphemism|breaking-a-car-window|storm|rain|bare-chested-male|married-couple|husband-wife-relationship|euphemism|fade-to-black|microphone|man-with-glasses|applause|waiter|sunglasses|opening-a-door|night|apology|megaphone|mother-daughter-relationship|voice-over-narration|nickname|brunette|scene-during-opening-credits|alliterative-title|two-word-title|happy-ending|1957-chevrolet|blonde|pink-panties|white-panties|panties|upskirt|red-dress|short-shorts|scantily-clad-female|cleavage|teenage-girl|liberal|protective-male|year-1963|unwanted-pregnancy|class-differences|female-protagonist|tights|reference-to-cleopatra|legs|wrong-side-of-the-tracks|barefoot|bungalow-colony|teen-romance|summer-romance|labor-day|vacation|sensuality|opposites-attract|gossip|forbidden-love|family-vacation|coming-of-age|class-system|teenager|sister-sister-relationship|father-daughter-relationship|famous-line|dance-lesson|dancing|sexual-awakening|first-love|blockbuster|1960s|watermelon|premarital-sex|independent-film|cult-film
