IMDbId,IMDb_score,box_office_rank,genre_list,release_year,title
tt0092099,6.9,1,"Action, Drama, Romance",1986,Top Gun (1986)
tt0090555,6.5,2,"Adventure, Comedy",1986,Crocodile Dundee (1986)
tt0091763,8.1,3,"Drama, War",1986,Platoon (1986)
tt0091326,5.9,4,"Action, Family, Romance",1986,The Karate Kid Part II (1986)
tt0092007,7.3,5,"Adventure, Comedy, Sci-Fi",1986,Star Trek IV: The Voyage Home (1986)
tt0090685,6.6,6,"Comedy, Romance, Sport",1986,Back to School (1986)
tt0090605,8.4,7,"Action, Adventure, Sci-Fi",1986,Aliens (1986)
tt0091129,5.9,8,"Action, Adventure, Comedy",1986,The Golden Child (1986)
tt0091877,6.9,9,"Comedy, Crime",1986,Ruthless People (1986)
tt0091042,7.8,10,Comedy,1986,Ferris Bueller's Day Off (1986)
tt0090966,6.1,11,Comedy,1986,Down and Out in Beverly Hills (1986)
tt0090863,7.0,12,"Drama, Sport",1986,The Color of Money (1986)
tt0092005,8.1,13,"Adventure, Drama",1986,Stand by Me (1986)
tt0091396,5.9,14,"Comedy, Crime, Romance",1986,Legal Eagles (1986)
tt0090859,5.7,15,"Action, Crime, Thriller",1986,Cobra (1986)
tt0090633,6.9,16,"Animation, Comedy, Drama",1986,An American Tail (1986)
tt0091777,5.2,17,Comedy,1986,Police Academy 3: Back in Training (1986)
tt0091187,6.8,18,"Action, Comedy, Drama",1986,Heartbreak Ridge (1986)
tt0091738,6.3,19,"Comedy, Drama, Fantasy",1986,Peggy Sue Got Married (1986)
tt0091778,5.7,20,Horror,1986,Poltergeist II: The Other Side (1986)
tt0091949,6.6,21,"Comedy, Family, Sci-Fi",1986,Short Circuit (1986)
tt0091790,6.8,22,"Comedy, Drama, Romance",1986,Pretty in Pink (1986)
tt0091167,8.0,23,"Comedy, Drama",1986,Hannah and Her Sisters (1986)
tt0092086,6.4,24,"Comedy, Western",1986,¡Three Amigos! (1986)
tt0091419,6.9,25,"Comedy, Family, Musical",1986,Little Shop of Horrors (1986)
tt0090583,6.2,26,"Comedy, Drama, Romance",1986,About Last Night... (1986)
tt0091149,7.2,27,"Animation, Adventure, Family",1986,The Great Mouse Detective (1986)
tt0091875,6.5,28,"Action, Comedy, Crime",1986,Running Scared (1986)
tt0091064,7.5,29,"Drama, Horror, Sci-Fi",1986,The Fly (1986)
tt0091541,6.3,30,Comedy,1986,The Money Pit (1986)
tt0091159,6.2,31,"Comedy, Drama",1986,Gung Ho (1986)
tt0093164,5.5,32,"Action, Crime, Drama",1986,Heat (1986)
tt0091653,5.9,33,"Comedy, Drama, Romance",1986,Nothing in Common (1986)
tt0090830,7.2,34,"Drama, Romance",1986,Children of a Lesser God (1986)
tt0091217,7.6,35,"Drama, Sport",1986,Hoosiers (1986)
tt0091991,5.2,36,"Comedy, Romance",1986,Soul Man (1986)
tt0092214,5.9,37,"Comedy, Sport",1986,Wildcats (1986)
tt0091306,5.8,38,"Comedy, Romance, Thriller",1986,Jumpin' Jack Flash (1986)
tt0091188,6.1,39,"Comedy, Drama",1986,Heartburn (1986)
tt0091554,6.0,40,"Crime, Mystery, Romance",1986,The Morning After (1986)
tt0091278,5.3,41,"Action, Thriller, War",1986,Iron Eagle (1986)
tt0090886,6.4,42,"Comedy, Drama",1986,Crimes of the Heart (1986)
tt0092105,6.2,43,Comedy,1986,Tough Guys (1986)
tt0089118,6.7,44,"Action, Thriller",1986,F/X (1986)
tt0091080,5.9,45,"Horror, Thriller",1986,Jason Lives: Friday the 13th Part VI (1986)
tt0091059,6.9,46,"Adventure, Family, Sci-Fi",1986,Flight of the Navigator (1986)
tt0091295,6.3,47,"Biography, Comedy, Drama",1986,"Jo Jo Dancer, Your Life Is Calling (1986)"
tt0092654,6.6,48,"Comedy, Crime, Drama",1986,The Big Easy (1986)
tt0091530,7.5,49,"Adventure, Drama, History",1986,The Mission (1986)
tt0090927,5.6,50,"Action, Adventure, Drama",1986,The Delta Force (1986)
tt0091225,4.6,51,"Action, Adventure, Comedy",1986,Howard the Duck (1986)
tt0091828,5.5,52,"Action, Crime, Thriller",1986,Raw Deal (1986)
tt0090660,5.5,53,"Action, Comedy, Crime",1986,Armed and Dangerous (1986)
tt0092272,6.1,54,"Drama, Romance, Sport",1986,Youngblood (1986)
tt0091799,5.3,55,"Horror, Mystery, Thriller",1986,Psycho III (1986)
tt0091557,6.6,56,"Adventure, Drama, Thriller",1986,The Mosquito Coast (1986)
tt0092035,5.7,57,Comedy,1986,Sweet Liberty (1986)
tt0091680,6.4,58,"Comedy, Romance",1986,One Crazy Summer (1986)
tt0091024,6.3,59,"Drama, Thriller",1986,Extremities (1986)
tt0097050,7.1,60,"Adventure, Drama, Family",1986,Koneko monogatari (1986)
tt0090887,6.0,61,"Action, Comedy, Horror",1986,Critters (1986)
tt0090655,6.2,62,"Horror, Mystery",1986,April Fool's Day (1986)
tt0091369,7.4,63,"Adventure, Family, Fantasy",1986,Labyrinth (1986)
tt0090856,4.9,64,Comedy,1986,Club Paradise (1986)
tt0091637,5.6,65,"Crime, Drama, Romance",1986,No Mercy (1986)
tt0090774,6.9,66,Comedy,1986,Brighton Beach Memoirs (1986)
tt0091055,5.0,67,"Action, Adventure, Comedy",1986,Firewalker (1986)
tt0090728,7.3,68,"Action, Adventure, Comedy",1986,Big Trouble in Little China (1986)
tt0092133,4.9,69,"Comedy, Drama, Music",1986,Under the Cherry Moon (1986)
tt0091575,5.9,70,"Action, Crime, Drama",1986,Murphy's Law (1986)
tt0091993,5.6,71,"Adventure, Family, Sci-Fi",1986,SpaceCamp (1986)
tt0090917,5.5,72,"Drama, Horror, Sci-Fi",1986,Deadly Friend (1986)
tt0091474,7.2,73,"Crime, Horror, Mystery",1986,Manhunter (1986)
tt0090756,7.8,74,"Drama, Mystery, Thriller",1986,Blue Velvet (1986)
tt0090799,5.3,75,"Animation, Adventure, Comedy",1986,Care Bears Movie II: A New Generation (1986)
tt0092226,5.6,76,"Comedy, Crime",1986,Wise Guys (1986)
tt0091983,6.9,77,"Comedy, Crime, Romance",1986,Something Wild (1986)
tt0091445,6.8,78,"Comedy, Drama, Romance",1986,Lucas (1986)
tt0091178,5.6,79,Comedy,1986,Haunted Honeymoon (1986)
tt0092076,5.6,80,"Comedy, Horror",1986,The Texas Chainsaw Massacre 2 (1986)
tt0090713,6.0,81,"Comedy, Drama, Sport",1986,The Best of Times (1986)
tt0091814,5.6,82,"Crime, Drama, Thriller",1986,Quicksilver (1986)
tt0091499,5.4,83,"Action, Comedy, Horror",1986,Maximum Overdrive (1986)
tt0090327,5.7,84,"Horror, Mystery, Thriller",1986,Witchboard (1986)
tt0091605,7.8,85,"Crime, Drama, Mystery",1986,Der Name der Rose (1986)
tt0090768,6.5,86,"Drama, Fantasy, Romance",1986,The Boy Who Could Fly (1986)
